epoch, score
0, 326
1, 326
2, 326
3, 326
4, 326
5, 326
6, 326
7, 326
8, 329
9, 329
10, 329
11, 329
12, 329
13, 329
14, 329
15, 329
16, 329
17, 329
18, 329
19, 329
20, 329
21, 329
22, 329
23, 329
24, 329
25, 329
26, 329
27, 329
28, 329
29, 329
30, 329
31, 329
32, 329
33, 335
34, 352
35, 352
36, 352
37, 353
38, 353
39, 353
40, 353
41, 353
42, 353
43, 353
44, 353
45, 353
46, 353
47, 353
48, 353
49, 353
