epoch, score, d
0,-241,118
1,-226,164
2,-226,164
3,-226,164
4,-226,164
5,-171,161
6,-171,161
7,-171,161
8,-171,161
9,-161,162
10,-161,162
11,-161,162
12,-161,162
13,-161,162
14,-161,162
15,-161,162
16,-161,162
17,-161,162
18,-161,162
19,-161,162
20,-161,162
21,-161,162
22,-161,162
23,-161,162
24,-161,162
